iter	Passed	Remaining
840	39040	7381
841	39060	7329
842	39081	7278
843	39110	7228
844	39131	7177
845	39153	7127
846	39173	7076
847	39198	7026
848	39229	6977
849	39251	6926
850	39272	6876
851	39298	6826
852	39323	6776
853	39345	6726
854	39365	6676
855	39390	6626
856	39420	6577
857	39441	6527
858	39461	6477
859	39487	6428
860	39517	6379
861	39539	6329
862	39560	6280
863	39584	6230
864	39618	6183
865	39643	6134
866	39665	6084
867	39708	6038
868	39746	5991
869	39788	5945
870	39832	5899
871	39857	5850
872	39885	5802
873	39918	5754
874	39940	5705
875	39961	5656
876	39983	5607
877	40015	5560
878	40038	5511
879	40061	5462
880	40090	5415
881	40118	5367
882	40142	5319
883	40164	5270
884	40188	5222
885	40224	5175
886	40247	5127
887	40271	5079
888	40312	5033
889	40347	4986
890	40378	4939
891	40414	4893
892	40443	4845
893	40477	4799
894	40525	4754
895	40553	4707
896	40585	4660
897	40620	4613
898	40646	4566
899	40671	4519
900	40707	4472
901	40743	4426
902	40776	4380
903	40843	4337
904	40876	4290
905	40913	4244
906	40944	4198
907	40969	4151
908	41003	4104
909	41031	4058
910	41057	4011
911	41083	3964
912	41129	3919
913	41163	3873
914	41198	3827
915	41236	3781
916	41258	3734
917	41300	3689
918	41335	3643
919	41363	3596
920	41396	3550
921	41429	3504
922	41458	3458
923	41489	3412
924	41525	3366
925	41551	3320
926	41578	3274
927	41617	3228
928	41646	3182
929	41674	3136
930	41704	3090
931	41731	3044
932	41757	2998
933	41793	2953
934	41818	2907
935	41841	2860
936	41864	2814
937	41906	2769
938	41935	2724
939	41960	2678
940	41993	2632
941	42033	2588
942	42075	2543
943	42121	2498
944	42160	2453
945	42189	2408
946	42230	2363
947	42254	2317
948	42291	2272
949	42326	2227
950	42356	2182
951	42390	2137
952	42432	2092
953	42469	2047
954	42500	2002
955	42538	1957
956	42563	1912
957	42593	1867
958	42621	1822
959	42645	1776
960	42670	1731
961	42706	1686
962	42732	1641
963	42760	1596
964	42790	1551
965	42836	1507
966	42888	1463
967	42940	1419
968	43018	1376
969	43062	1331
970	43118	1287
971	43148	1242
972	43183	1198
973	43223	1153
974	43248	1108
975	43273	1064
976	43299	1019
977	43329	974
978	43355	929
979	43395	885
980	43452	841
981	43491	797
982	43529	752
983	43558	708
984	43590	663
985	43616	619
986	43642	574
987	43666	530
988	43703	486
989	43734	441
990	43763	397
991	43790	353
992	43813	308
993	43841	264
994	43883	220
995	43913	176
996	43936	132
997	43991	88
998	44026	44
999	44060	0
03
940	152356	9552
941	152604	9396
942	152755	9233
943	152921	9071
944	153160	8914
945	153292	8750
946	153364	8583
947	153448	8417
948	153606	8254
949	153744	8091
950	153916	7930
951	154039	7766
952	154230	7606
953	154378	7443
954	154463	7278
955	154646	7117
956	154722	6951
957	154868	6789
958	155242	6637
959	155443	6476
960	155542	6312
961	155609	6146
962	155660	5980
963	155725	5815
964	155810	5651
965	155902	5487
966	156006	5323
967	156143	5161
968	156214	4997
969	156303	4834
970	156383	4670
971	156481	4507
972	156571	4344
973	156652	4181
974	156731	4018
975	156806	3855
976	156996	3695
977	157188	3535
978	157348	3375
979	157437	3213
980	157489	3050
981	157553	2887
982	157610	2725
983	157684	2563
984	157732	2402
